FROM,TO,TRIPS
Hernando & Citrus,Pasco,45057.74694
External,Pasco,3792.45779
Pinellas North,Pasco,41507.53705
Pinellas North Central,Pasco,23757.27459
Pinellas South,Pasco,1047.6639
Clearwater Dwntwn,Pasco,413.73275
Oldsmar Ind Area,Pasco,8620.18869
Pinellas Beaches,Pasco,2349.04482
Mid-Cnty Ind Area,Pasco,2022.42701
Pinellas Central,Pasco,824.71427
Tarpon Springs Area,Pasco,18452.33464
Dwntwn USF Albert Whitted Airport,Pasco,123.848
Countryside Mall,Pasco,98.27294
Gateway Area,Pasco,98.27294
Clearwater Mall,Pasco,100.0621
Pinellas North Central,Hernando & Citrus,819.80234
Pasco,Hernando & Citrus,44464.98914
Hernando & Citrus,Hernando & Citrus,887635.240220001
Hillsborough,Hernando & Citrus,12312.81003
Oldsmar Ind Area,Hernando & Citrus,98.3691
External,Hernando & Citrus,13271.21459
Gateway Area,Hernando & Citrus,0
Clearwater Dwntwn,Hernando & Citrus,98.27294
Pinellas North,Hernando & Citrus,159.67064
Pinellas Central,Hernando & Citrus,79.11249
Mid-Cnty Ind Area,Hernando & Citrus,40.24512
Tarpon Springs Area,Hernando & Citrus,6.09454
Pinellas South,Hernando & Citrus,902.79766
Pinellas Beaches,Manatee Spur,546.63962
External,Manatee Spur,0
Hillsborough,Manatee Spur,672.44761
Manatee Spur,Manatee Spur,306.29832
Pasco,Manatee Spur,0
Pinellas South,Manatee Spur,0
