ZONE,COUNTY,RESIDENCY,QUANTITY
360,Davidson,VISITORS,7.17
361,Davidson,RESIDENTS,1025.32
361,Davidson,VISITORS,5.52
362,Davidson,RESIDENTS,136.88
362,Davidson,VISITORS,4.8
363,Davidson,RESIDENTS,2665.76
363,Davidson,VISITORS,41.69
364,Davidson,RESIDENTS,2566.78
364,Davidson,VISITORS,7.26
365,Davidson,RESIDENTS,1707.19
365,Davidson,VISITORS,43.59
366,Davidson,RESIDENTS,4748.32
366,Davidson,VISITORS,96.31
367,Davidson,RESIDENTS,1369.35
367,Davidson,VISITORS,22.62
368,Davidson,RESIDENTS,2830.66
368,Davidson,VISITORS,21.42
369,Davidson,RESIDENTS,407.37
369,Davidson,VISITORS,4.06
370,Davidson,RESIDENTS,1075.47
370,Davidson,VISITORS,14.41
371,Davidson,RESIDENTS,400.97
371,Davidson,VISITORS,0
372,Davidson,RESIDENTS,261.5
372,Davidson,VISITORS,0
373,Davidson,RESIDENTS,205.86
373,Davidson,VISITORS,3.12
374,Davidson,RESIDENTS,806.35
374,Davidson,VISITORS,11.52
375,Davidson,RESIDENTS,1973.62
375,Davidson,VISITORS,17.83
376,Davidson,RESIDENTS,2521.94
376,Davidson,VISITORS,34.52
377,Davidson,RESIDENTS,1559.64
377,Davidson,VISITORS,20.31
378,Davidson,RESIDENTS,1071.6
378,Davidson,VISITORS,7.5
379,Davidson,RESIDENTS,164.45
379,Davidson,VISITORS,11.32
380,Davidson,RESIDENTS,4703.33
