District_Origin,District_Destination,Visitor_AM,Visitor_MD,Visitor_PM,Visitor_NT
RockHill,WestRural,4.30252,11.944632,13.075341,20.381088
RockHill,SERural,30.903934,126.402809,70.595566,83.306931
RockHill,NWRural,4.177833,11.184435,10.619404,17.54113
RockHill,SWRural,99.24247,318.257294,252.346817,263.208771
RockHill,NorthRural,3.009559,17.297344,5.743902,12.052278
RockHill,Concord.Kannapolis,6.421152,24.285013,18.506687,33.490398
RockHill,NorthMeck.Mooresville,18.688459,28.31781,24.873631,27.648506
RockHill,Gastonia,42.079948,71.159882,76.381866,88.068176
RockHill,OutsideRoute4,487.027588,1163.977539,828.209167,1283.678223
RockHill,InsideRoute4,70.090401,169.046051,106.1371,225.303467
RockHill,RockHill,3286.864502,11274.88379,5561.186035,7065.089844
RockHill,Monroe,8.87067,11.771978,19.086695,12.669981
RockHill,SE_Outer,30.832684,84.849068,66.666542,113.519981
RockHill,Statesville,0.44562,1.748081,1.053545,1.674133
RockHill,Salisbury,1.264973,3.779754,2.990677,6.948378
RockHill,Shelby,0.42563,1.280202,1.556206,1.074302
Monroe,WestRural,57.036915,121.250778,93.64035,157.155762
Monroe,SERural,88.143791,219.803314,260.625977,285.096344
Monroe,NWRural,0.529784,2.431219,1.252527,2.238945
Monroe,SWRural,0.188797,1.556307,0.99589,0.47653
Monroe,NorthRural,0.778834,2.336207,2.9353,3.069049
Monroe,Concord.Kannapolis,3.960786,19.54385,11.462939,13.005865
Monroe,NorthMeck.Mooresville,3.026747,4.591689,4.86641,12.756345
Monroe,Gastonia,1.268499,8.67591,2.999015,4.307588
Monroe,OutsideRoute4,66.030167,127.84771,100.373154,154.919769
Monroe,InsideRoute4,10.541559,14.789506,10.971923,29.500507
Monroe,RockHill,4.920914,8.449483,16.214878,18.271976
Monroe,Monroe,655.97406,3105.67334,1129.623169,1461.666504
Monroe,SE_Outer,224.399277,391.458252,268.13974,261.632874
Monroe,Statesville,0.129501,0.189421,0.306168,0.874736
Monroe,Salisbury,0.722242,1.056424,1.707541,1.822961
Monroe,Shelby,0.085225,0.918183,0.201492,0.215112
SE_Outer,WestRural,38.61956,129.339905,86.260307,123.432091
SE_Outer,SERural,33.858288,105.739853,107.526535,118.862854
SE_Outer,NWRural,0.964585,3.067622,4.764277,2.98562
SE_Outer,SWRural,0.700359,3.389088,5.715824,5.565953
SE_Outer,NorthRural,7.911003,4.619069,5.266145,4.835581
SE_Outer,Concord.Kannapolis,12.66064,31.502592,32.653873,56.712055
SE_Outer,NorthMeck.Mooresville,7.616263,25.951715,15.892108,22.281322
SE_Outer,Gastonia,4.729771,13.355385,11.118835,12.03171
SE_Outer,OutsideRoute4,463.855316,1154.399658,671.835693,1198.762939
SE_Outer,InsideRoute4,71.3964,120.172554,90.457748,138.335938
SE_Outer,RockHill,31.451937,122.335915,78.307426,103.411499
SE_Outer,Monroe,83.500397,400.862122,254.481827,429.840454
SE_Outer,SE_Outer,875.231201,2998.142822,1403.808105,2116.403076
SE_Outer,Statesville,0.22977,0.336085,0.543228,1.676991
SE_Outer,Salisbury,1.078626,5.32947,2.550111,2.722484
SE_Outer,Shelby,0.162792,0.238116,0.384877,0.410892
Statesville,WestRural,1.523528,4.765714,2.224297,4.341848
Statesville,SERural,0.040125,0.058691,0.094864,0.101276
Statesville,NWRural,2.96135,6.362688,7.714559,6.235578
Statesville,SWRural,0.0771,0.112775,0.729914,0.194603
Statesville,NorthRural,220.409729,683.100952,365.181122,566.004333
