District_Origin,District_Destination,Residents_AM,Residents_MD,Residents_PM,Residents_NT
Statesville,Salisbury,74.200737,142.67981,137.144104,152.004578
Statesville,Shelby,0.497359,1.805471,1.570139,3.781326
Salisbury,WestRural,2760.324951,5486.51416,5233.32373,6016.472168
Salisbury,SERural,0.606266,0.863964,1.245259,1.265252
Salisbury,NWRural,13.01092,14.795497,20.393656,27.81044
Salisbury,SWRural,2.068679,5.29909,7.546589,10.289865
Salisbury,NorthRural,2264.752197,5140.817871,4751.611328,7113.973145
Salisbury,Concord.Kannapolis,2341.653076,4320.915039,3644.435059,4226.895996
Salisbury,NorthMeck.Mooresville,500.149506,649.093628,695.704163,980.667297
Salisbury,Gastonia,21.282415,51.886768,73.898026,114.701233
Salisbury,OutsideRoute4,499.8526,843.269714,764.509216,1104.553467
Salisbury,InsideRoute4,166.842987,298.206238,143.548309,282.037109
Salisbury,RockHill,15.720453,27.341158,29.524673,38.341911
Salisbury,Monroe,5.240381,15.187384,13.904462,34.021172
Salisbury,SE_Outer,10.032245,61.661652,78.499985,56.061501
Salisbury,Statesville,64.500839,135.300308,104.228577,198.002274
Salisbury,Salisbury,15484.28223,42878.41016,26820.87891,38471.72266
Salisbury,Shelby,0.528789,0.753554,2.571063,4.550722
Shelby,WestRural,2.662623,6.870297,10.231418,11.015247
Shelby,SERural,0.119815,2.450593,0.793475,0.250049
Shelby,NWRural,2440.143799,7119.689453,7359.228516,8624.707031
Shelby,SWRural,22.63364,52.825798,46.247726,59.457756
Shelby,NorthRural,2.281802,2.446527,3.536566,7.052224
Shelby,Concord.Kannapolis,12.24054,20.549818,10.086642,15.071914
Shelby,NorthMeck.Mooresville,4.854171,13.046065,19.73826,27.090208
Shelby,Gastonia,524.957886,1104.497803,889.185303,1001.412109
Shelby,OutsideRoute4,61.581055,148.421341,111.752296,188.580872
Shelby,InsideRoute4,42.710281,84.814156,42.265038,56.49419
Shelby,RockHill,6.544415,24.679125,31.656364,33.78326
Shelby,Monroe,0.512254,1.55139,1.052159,3.197425
Shelby,SE_Outer,5.004353,5.981941,9.355437,11.431326
Shelby,Statesville,0.284192,3.422105,1.132163,3.061383
Shelby,Salisbury,0.962126,1.371085,3.46113,3.784923
Shelby,Shelby,7829.974609,24821.3125,14954.00781,19074.67383
