District_Origin,District_Destination,Residents_AM,Residents_MD,Residents_PM,Residents_NT,Visitor_AM,Visitor_MD,Visitor_PM,Visitor_NT,Residents_Daily,Visitors_Daily,Daily
NorthRural,Concord.Kannapolis,2532.108643,4335.532227,3269.952881,4442.973633,54.692886,146.961029,104.657967,163.916489,14580.56738,470.228363,15050.7959
NorthRural,NorthMeck.Mooresville,5344.530762,7817.314453,5334.769043,7280.914551,167.290848,351.064392,218.329666,353.261383,25777.5293,1089.946289,26867.47461
NorthRural,Gastonia,28.26284,117.96521,109.064354,79.244926,2.477893,24.85067,6.522032,9.357696,334.537323,43.20829,377.745605
NorthRural,OutsideRoute4,551.195618,625.583618,489.168457,924.750244,27.484438,60.142094,59.939713,70.942444,2590.697998,218.508682,2809.206543
NorthRural,InsideRoute4,185.783676,184.647446,120.226044,212.001694,9.102399,13.298149,12.802521,18.204468,702.658875,53.407536,756.066406
NorthRural,RockHill,26.880451,50.131706,44.968014,54.159046,2.442892,18.920065,7.004403,8.407526,176.139221,36.774887,212.914108
NorthRural,Monroe,7.094884,16.834377,19.122467,23.101309,1.419046,2.124577,1.665823,2.325969,66.153038,7.535415,73.688446
NorthRural,SE_Outer,24.446583,28.675774,44.839394,78.173904,3.582911,4.225949,4.934153,4.057436,176.135651,16.800449,192.936111
NorthRural,Statesville,6558.992676,11351.16211,7509.779785,10748.51074,274.593384,716.512634,449.047272,625.925415,36168.44531,2066.078613,38234.52344
NorthRural,Salisbury,3661.581055,5954.622559,4067.978271,5576.804688,91.198288,299.12915,134.625565,224.462296,19260.98633,749.415283,20010.40234
NorthRural,Shelby,3.41706,5.700244,2.505518,5.353396,0.191381,0.279933,0.452468,0.483052,16.976219,1.406834,18.383053
Concord.Kannapolis,WestRural,3572.818115,9430.44043,9973.285156,12326.76367,159.226547,427.049011,320.390167,506.896362,35303.30859,1413.562134,36716.87109
Concord.Kannapolis,SERural,28.178902,42.104118,53.413494,56.118114,5.344388,6.414819,3.20158,3.434705,179.814621,18.395491,198.210114
Concord.Kannapolis,NWRural,100.963272,159.569763,124.020683,196.391876,8.383284,11.950113,8.783046,11.456339,580.945618,40.572781,621.518372
Concord.Kannapolis,SWRural,12.306012,25.817455,39.495983,65.939903,1.524101,2.028116,2.69185,2.281209,143.559357,8.525275,152.084625
Concord.Kannapolis,NorthRural,1562.826416,3868.672852,3831.911865,5350.109375,50.785133,131.221893,97.148132,158.12027,14613.52051,437.275421,15050.7959
Concord.Kannapolis,Concord.Kannapolis,65316.89453,152089.2188,103409.6016,147121.375,1830.140137,6615.956543,3589.887207,5687.257813,467937.0938,17723.24219,485660.3438
Concord.Kannapolis,NorthMeck.Mooresville,4644.237305,7583.786133,6373.222168,9474.880859,120.643326,364.482574,284.458496,385.224731,28076.12695,1154.809082,29230.93555
Concord.Kannapolis,Gastonia,267.880646,367.999481,368.999939,454.782898,16.430788,37.623867,24.304783,40.170723,1459.662964,118.530159,1578.193115
Concord.Kannapolis,OutsideRoute4,10263.7002,16394.05859,11314.80469,20812.75586,375.755371,820.355225,609.063721,985.448486,58785.32031,2790.622803,61575.94141
Concord.Kannapolis,InsideRoute4,3143.267578,2651.688721,1584.229614,3563.870117,91.650307,268.777466,175.871582,395.999237,10943.05566,932.298645,11875.35449
Concord.Kannapolis,RockHill,179.331284,199.243912,149.014862,293.5,9.479868,24.590935,18.792377,25.015526,821.090027,77.878708,898.96875
Concord.Kannapolis,Monroe,204.129211,181.01799,113.463112,202.786362,4.061001,26.75038,11.281469,15.646658,701.396667,57.739506,759.136169
Concord.Kannapolis,SE_Outer,481.734924,655.06073,614.618835,758.450317,30.281366,31.279814,23.407814,38.900547,2509.864746,123.869537,2633.734375
Concord.Kannapolis,Statesville,90.33876,64.741852,47.360764,79.213104,1.73658,4.205855,5.221894,6.718674,281.65448,17.883003,299.537476
Concord.Kannapolis,Salisbury,2339.685059,3975.664063,3140.194824,5132.39502,87.272133,242.493973,158.360962,301.451202,14587.93848,789.578247,15377.5166
Concord.Kannapolis,Shelby,15.183919,11.410766,17.975779,12.734957,1.657433,3.753687,0.94964,1.616021,57.30542,7.976781,65.282204
NorthMeck.Mooresville,WestRural,377.664642,624.945679,881.333435,720.539673,13.477944,30.123833,44.825748,57.469994,2604.483398,145.897522,2750.380859
NorthMeck.Mooresville,SERural,7.204626,23.350689,33.747936,25.816895,0.694491,2.735923,2.276031,2.853091,90.12014,8.559536,98.67968
NorthMeck.Mooresville,NWRural,4634.506836,8540.119141,5548.115723,6416.71582,94.339188,459.090454,231.256607,375.235687,25139.45703,1159.921997,26299.37891
NorthMeck.Mooresville,SWRural,10.465798,32.277573,36.261482,53.723309,2.517994,6.374859,4.228197,11.300533,132.728165,24.421583,157.14975
NorthMeck.Mooresville,NorthRural,3081.832764,7072.514648,6783.241699,8873.40332,81.279106,386.612671,258.339691,330.251099,25810.99219,1056.482544,26867.47461
NorthMeck.Mooresville,Concord.Kannapolis,4504.387695,8291.756836,7499.847168,7705.771484,152.350998,398.090881,295.031067,383.698975,28001.76367,1229.171997,29230.93555
NorthMeck.Mooresville,NorthMeck.Mooresville,89446.90625,209418.7656,141651.4531,175484.5156,2794.626709,11033.29492,4939.996582,7651.541504,616001.625,26419.45898,642421.0625
NorthMeck.Mooresville,Gastonia,1158.566162,2161.604004,2006.634521,2790.818115,34.464897,58.823132,57.146286,84.69136,8117.622559,235.125671,8352.748047
NorthMeck.Mooresville,OutsideRoute4,10002.99902,18968.08203,14245.36914,20323.91602,315.258881,845.980713,623.404053,959.719482,63540.36719,2744.363037,66284.72656
NorthMeck.Mooresville,InsideRoute4,4463.166016,3599.379395,2162.08667,3884.949707,77.573013,135.954926,169.201126,239.386505,14109.58203,622.115601,14731.69727
NorthMeck.Mooresville,RockHill,167.100128,283.687439,255.427811,321.238434,14.446668,27.402876,20.041027,29.688656,1027.453857,91.579224,1119.033081
NorthMeck.Mooresville,Monroe,52.464748,75.098778,78.240211,87.908478,5.015979,10.862107,4.457678,5.900587,293.712219,26.236351,319.948578
NorthMeck.Mooresville,SE_Outer,167.431946,331.588959,358.453186,391.026825,7.317443,17.899214,20.00935,21.216148,1248.500977,66.442154,1314.943115
NorthMeck.Mooresville,Statesville,1110.146484,1704.347046,1192.088501,1562.985474,23.116467,86.302498,74.247276,85.320564,5569.567383,268.986816,5838.554199
NorthMeck.Mooresville,Salisbury,552.098938,806.794067,791.572327,676.304382,31.372229,70.922508,37.283291,54.546005,2826.769775,194.124023,3020.893799
NorthMeck.Mooresville,Shelby,13.734973,27.465664,10.728127,14.497946,0.948111,2.303585,0.937799,1.001188,66.426712,5.190682,71.617393
Gastonia,WestRural,55.956749,100.571091,99.436394,129.291885,4.557024,11.283138,9.781374,9.488132,385.256134,35.109669,420.365784
Gastonia,SERural,10.627136,16.115601,33.108566,41.547157,0.504116,0.737371,1.191842,2.551131,101.39846,4.984459,106.382919
Gastonia,NWRural,3821.594238,10852.50195,10630.54492,13467.97559,134.495499,440.012634,256.607208,401.928558,38772.61719,1233.043945,40005.66016
Gastonia,SWRural,1574.046997,4550.408691,4453.41748,6031.214355,78.450874,157.724136,102.762825,163.26683,16609.08789,502.204681,17111.29297
Gastonia,NorthRural,62.797699,92.332901,53.151077,132.793961,3.58955,18.331499,7.158227,7.590712,341.075623,36.669987,377.745605
Gastonia,Concord.Kannapolis,279.343231,361.430023,327.497711,481.455139,12.189466,42.133198,28.697872,45.446453,1449.726074,128.46698,1578.193115
Gastonia,NorthMeck.Mooresville,1363.763184,2270.128418,1983.990112,2492.135254,54.788898,53.134708,46.327297,88.480698,8110.016602,242.731598,8352.748047
Gastonia,Gastonia,72669.70313,178748.2969,120522.8281,174281.3594,1663.335449,5877.005371,2993.268555,4267.740723,546222.1875,14801.35059,561023.5
Gastonia,OutsideRoute4,7887.406738,9065.432617,6212.645508,12384.7793,281.013855,529.926086,505.340088,605.043884,35550.26563,1921.323975,37471.58594
Gastonia,InsideRoute4,4057.28125,3439.538818,1647.042236,3753.679688,135.953461,214.677963,152.98941,258.464172,12897.54199,762.085022,13659.62695
Gastonia,RockHill,732.800903,1375.628418,1334.57019,1641.618774,32.69878,83.376144,55.24852,88.025467,5084.618164,259.348907,5343.967285
Gastonia,Monroe,34.297634,44.359509,34.973019,77.501488,1.591053,3.638979,2.455882,2.621885,191.131653,10.307799,201.439453
Gastonia,SE_Outer,133.610275,173.70787,155.640152,203.883881,8.816335,11.060002,10.982562,16.183146,666.842163,47.042046,713.884216
Gastonia,Statesville,16.6782,13.073011,19.106466,26.189011,1.506176,2.496165,2.257325,3.508455,75.046684,9.768121,84.814812
Gastonia,Salisbury,55.44091,82.192642,44.294922,83.783195,5.032039,9.003613,8.930477,10.957739,265.71167,33.92387,299.635529
Gastonia,Shelby,553.911682,1162.562988,800.057129,999.604187,16.191774,56.941093,35.63203,69.00174,3516.135986,177.766647,3693.902588
OutsideRoute4,WestRural,1467.835205,3452.32373,4292.391602,4683.675781,69.882828,198.410385,175.30603,293.886993,13896.22656,737.486267,14633.71289
OutsideRoute4,SERural,308.513611,845.664612,1065.799194,1306.662476,19.003607,32.086079,48.858753,63.760208,3526.639893,163.708649,3690.348633
OutsideRoute4,NWRural,815.534851,1570.327271,1965.391602,2257.294678,48.480057,84.727547,108.457489,124.661179,6608.54834,366.326263,6974.874512
OutsideRoute4,SWRural,486.384552,1439.01355,2249.598145,2774.466309,27.622404,85.752914,63.745174,86.88726,6949.462402,264.007751,7213.470215
OutsideRoute4,NorthRural,415.885956,635.021545,749.130066,791.476257,27.247108,72.696503,51.774418,65.974785,2591.513916,217.692825,2809.206543
OutsideRoute4,Concord.Kannapolis,7665.819824,16876.29883,15295.76172,19123.17188,268.789581,805.768066,559.348694,980.983826,58961.05078,2614.890137,61575.94141
OutsideRoute4,NorthMeck.Mooresville,12527.7793,17363.35156,14235.40234,19401.51172,303.670349,765.653564,632.126465,1055.235229,63528.04297,2756.685791,66284.72656
OutsideRoute4,Gastonia,4664.47998,9336.65918,9588.977539,12079.16602,211.530075,533.600037,479.947937,577.227112,35669.28125,1802.305176,37471.58594
OutsideRoute4,OutsideRoute4,295024.9688,677098,433635.4688,677673.75,10770.8916,34210.58203,18587.10547,32405.86133,2083432.125,95974.44531,2179406.5
OutsideRoute4,InsideRoute4,68473.91406,97320.83594,52362.24219,95739.03906,2060.4375,4621.032227,3119.0271,5425.770996,313896.0313,15226.26758,329122.2813
OutsideRoute4,RockHill,11242.89648,22362.86328,21771.67773,26322.4082,494.006287,1204.727051,858.3797,1366.24707,81699.84375,3923.360107,85623.20313
OutsideRoute4,Monroe,1037.771851,2133.592773,1871.925537,2538.484375,68.736198,107.428902,103.174118,171.322418,7581.774414,450.661652,8032.436035
OutsideRoute4,SE_Outer,11448.89258,31222.57422,26900.11719,35139.75,286.552795,1038.405396,717.957581,1232.218872,104711.3359,3275.134766,107986.4688
OutsideRoute4,Statesville,110.168983,155.508453,133.482056,194.801254,5.228522,24.702511,13.23653,15.169521,593.960754,58.337082,652.297852
OutsideRoute4,Salisbury,631.7547,890.764587,711.028259,998.560425,32.647415,96.931984,69.740044,102.751503,3232.10791,302.070953,3534.178955
OutsideRoute4,Shelby,82.80114,145.24791,119.807671,173.58136,7.960427,21.595882,18.302677,19.013285,521.438049,66.872276,588.310364
InsideRoute4,WestRural,192.846252,648.46167,1046.636719,1052.804321,23.528658,48.997169,46.221012,83.414291,2940.748779,202.161133,3142.909912
InsideRoute4,SERural,40.390652,99.56675,131.569336,219.303574,1.64654,8.063763,6.522795,11.015046,490.830322,27.248142,518.078491
InsideRoute4,NWRural,181.550232,543.426636,983.855774,899.047119,11.922278,30.397705,50.351891,87.226677,2607.879883,179.898544,2787.77832
InsideRoute4,SWRural,77.781921,266.650482,472.140228,417.78009,13.386525,8.279255,13.356209,20.410641,1234.352661,55.432629,1289.7854
InsideRoute4,NorthRural,47.906746,137.452805,207.476334,280.000824,5.976291,16.319859,31.012598,29.920938,672.836731,83.229683,756.066406
InsideRoute4,Concord.Kannapolis,798.374512,2745.122314,3630.66333,3821.251221,72.945641,253.494354,194.337158,359.166046,10995.41113,879.943176,11875.35449
InsideRoute4,NorthMeck.Mooresville,1292.951538,3279.582275,4560.711914,5022.936035,65.324539,143.609833,132.643372,233.938248,14156.18164,575.515991,14731.69727
InsideRoute4,Gastonia,768.689514,3174.085693,4512.379395,4525.625977,74.849266,143.499985,236.554382,223.942749,12980.78125,678.846375,13659.62695
InsideRoute4,OutsideRoute4,32208.53125,93396.64844,79406.75,109276.7031,1481.907227,4587.707031,3371.102783,5392.949219,314288.625,14833.66699,329122.2813
InsideRoute4,InsideRoute4,61253.87891,164015.9844,88318.90625,140319.7813,3126.748535,9186.904297,4804.801758,9682.811523,453908.5625,26801.26563,480709.8125
InsideRoute4,RockHill,864.051392,2084.27832,3269.890869,3539.500732,52.177673,158.759933,111.272751,212.996902,9757.72168,535.207275,10292.92871
InsideRoute4,Monroe,90.480873,280.40152,252.37767,310.021942,6.636243,16.95857,14.136334,20.345381,933.282043,58.076527,991.358521
InsideRoute4,SE_Outer,708.299622,2176.799805,3201.247803,3231.974121,34.731426,88.925941,110.038742,146.488632,9318.321289,380.184753,9698.505859
InsideRoute4,Statesville,13.618514,41.703377,61.837524,51.400566,1.415772,4.286742,4.455097,5.784764,168.559982,15.942375,184.50235
InsideRoute4,Salisbury,105.442734,238.036896,250.361191,290.267548,10.313368,30.910326,31.585899,42.82687,884.108398,115.636467,999.744812
InsideRoute4,Shelby,22.757561,69.82193,59.201164,73.626106,2.627001,8.189341,3.909206,7.176186,225.406754,21.901733,247.308487
RockHill,WestRural,75.727524,111.460075,183.031189,179.170151,4.30252,11.944632,13.075341,20.381088,549.388916,49.703583,599.092529
RockHill,SERural,766.111267,1573.7229,1485.338745,1979.05896,30.903934,126.402809,70.595566,83.306931,5804.231934,311.209229,6115.440918
RockHill,NWRural,74.496437,106.461037,181.566177,181.271561,4.177833,11.184435,10.619404,17.54113,543.795227,43.5228,587.317993
RockHill,SWRural,3159.230225,6445.066895,6876.453125,8780.958008,99.24247,318.257294,252.346817,263.208771,25261.70898,933.055359,26194.76367
RockHill,NorthRural,43.228474,41.324425,32.32909,57.929031,3.009559,17.297344,5.743902,12.052278,174.81102,38.103085,212.914108
RockHill,Concord.Kannapolis,86.282219,216.131882,241.745331,272.106049,6.421152,24.285013,18.506687,33.490398,816.265503,82.703255,898.96875
RockHill,NorthMeck.Mooresville,240.871445,255.804565,222.631378,300.197235,18.688459,28.31781,24.873631,27.648506,1019.504639,99.528404,1119.033081
RockHill,Gastonia,871.175537,1404.119629,1212.555786,1578.42627,42.079948,71.159882,76.381866,88.068176,5066.277344,277.68988,5343.967285
RockHill,OutsideRoute4,16804.20313,23689.72461,16749.15234,24617.23242,487.027588,1163.977539,828.209167,1283.678223,81860.3125,3762.892578,85623.20313
RockHill,InsideRoute4,3088.217773,2551.310059,1268.911499,2813.912354,70.090401,169.046051,106.1371,225.303467,9722.351563,570.577026,10292.92871
RockHill,RockHill,76402.375,171740.3125,123408.1641,156854.25,3286.864502,11274.88379,5561.186035,7065.089844,528405.125,27188.02344,555593.125
RockHill,Monroe,80.608299,185.549927,161.304214,209.072739,8.87067,11.771978,19.086695,12.669981,636.535156,52.399326,688.934509
RockHill,SE_Outer,929.249939,2088.275635,2060.634277,2213.292725,30.832684,84.849068,66.666542,113.519981,7291.452637,295.868286,7587.320801
RockHill,Statesville,5.035374,9.948301,12.049561,16.519157,0.44562,1.748081,1.053545,1.674133,43.552395,4.921379,48.473774
RockHill,Salisbury,18.274418,45.748959,32.039227,26.475746,1.264973,3.779754,2.990677,6.948378,122.538345,14.983782,137.522125
RockHill,Shelby,31.23452,21.800785,13.942739,30.384253,0.42563,1.280202,1.556206,1.074302,97.362297,4.33634,101.698639
Monroe,WestRural,913.039185,2932.26709,3184.973633,4289.762207,57.036915,121.250778,93.64035,157.155762,11320.04297,429.083801,11749.12598
Monroe,SERural,1865.935547,5765.713379,5534.092773,7201.806641,88.143791,219.803314,260.625977,285.096344,20367.54883,853.669434,21221.2168
Monroe,NWRural,24.09786,15.944615,14.862889,20.19943,0.529784,2.431219,1.252527,2.238945,75.104797,6.452474,81.557266
Monroe,SWRural,4.957316,4.998502,8.977098,17.958855,0.188797,1.556307,0.99589,0.47653,36.891769,3.217524,40.109295
Monroe,NorthRural,21.062744,9.822604,11.290462,22.393248,0.778834,2.336207,2.9353,3.069049,64.569061,9.11939,73.688446
Monroe,Concord.Kannapolis,99.664909,169.780029,201.410797,240.307007,3.960786,19.54385,11.462939,13.005865,711.16272,47.973438,759.136169
Monroe,NorthMeck.Mooresville,76.603394,64.983528,79.633247,73.487213,3.026747,4.591689,4.86641,12.756345,294.707397,25.241192,319.948578
Monroe,Gastonia,24.971079,44.785877,49.722057,64.709427,1.268499,8.67591,2.999015,4.307588,184.188446,17.251011,201.439453
Monroe,OutsideRoute4,1417.175049,2010.128174,1625.965576,2529.996582,66.030167,127.84771,100.373154,154.919769,7583.265625,449.170807,8032.436035
Monroe,InsideRoute4,238.692184,214.348984,151.948944,320.564911,10.541559,14.789506,10.971923,29.500507,925.555054,65.803497,991.358521
Monroe,RockHill,129.118393,134.157898,168.509018,209.291931,4.920914,8.449483,16.214878,18.271976,641.077271,47.85725,688.934509
Monroe,Monroe,14484.61035,41802.76953,25179.62695,37050.57813,655.97406,3105.67334,1129.623169,1461.666504,118517.5859,6352.937012,124870.5234
Monroe,SE_Outer,5324.574219,9735.376953,7933.657227,9930.630859,224.399277,391.458252,268.13974,261.632874,32924.23828,1145.630127,34069.86719
Monroe,Statesville,5.206964,3.637307,2.791893,4.304917,0.129501,0.189421,0.306168,0.874736,15.941081,1.499826,17.440907
Monroe,Salisbury,11.146955,19.645678,13.454625,25.701605,0.722242,1.056424,1.707541,1.822961,69.94886,5.309168,75.258026
Monroe,Shelby,2.186014,1.869686,2.211108,1.133667,0.085225,0.918183,0.201492,0.215112,7.400475,1.420013,8.820488
