ZONE,MODE,TRIPS
458,AUTO,11771.18869
458,SHUTTLE_VANPOOL,64.11816
458,WALK,1335.878
459,AUTO,2313.30854
460,AUTO,3537.39602
460,WALK,669.13528
461,AUTO,3471.27723
461,TNC,9.14181
462,AUTO,281.05136
463,AUTO,1767.58993
464,AUTO,5598.99632
465,AUTO,14383.73562
465,SHUTTLE_VANPOOL,343.1832
465,TRANSIT,957.52412
466,AUTO,1294.61695
467,AUTO,21637.63662
467,TRANSIT,209.76923
468,AUTO,6535.92169
469,AUTO,5453.5434
470,AUTO,122.40136
471,AUTO,1848.45178
472,AUTO,1913.57456
473,AUTO,681.29938
473,TRANSIT,149.74679
474,AUTO,152.30794
475,AUTO,2954.19466
475,WALK,80.5267
476,AUTO,12640.07963
476,WALK,730.0368
477,AUTO,10371.53175
477,TNC,99.30834
477,WALK,32.24429
478,AUTO,2734.18282
479,AUTO,309.59898
480,AUTO,3152.28488
480,WALK,54.58608
481,AUTO,4927.38901
481,WALK,42.09333
482,AUTO,4386.09161
482,WALK,1066.08128
483,AUTO,2303.01481
483,WALK,177.32399
484,AUTO,1243.4435
484,WALK,177.32399
485,AUTO,4280.07546
485,WALK,55.85817
486,AUTO,582.61191
487,AUTO,10133.06954
488,AUTO,2948.07875
489,AUTO,1631.33149
490,AUTO,331.51959
491,AUTO,2716.41694
491,WALK,7.41052
492,AUTO,4219.91689
492,WALK,204.29122
493,AUTO,9334.53476
494,AUTO,3535.4015
495,AUTO,4078.62091
496,AUTO,6124.3463
497,AUTO,4862.70845
497,WALK,581.20306
498,AUTO,8404.76921
498,BIKE,1195.93134
498,WALK,739.87526
499,AUTO,1077.22526
499,WALK,257.66988
500,AUTO,18.28361
501,AUTO,196.68832
502,AUTO,410.26988
503,AUTO,16809.77093
503,BIKE,101.3056
503,WALK,399.37422
504,AUTO,36231.42429
504,WALK,376.90253
505,AUTO,4642.48559
505,WALK,22.73893
506,AUTO,3033.11421
506,WALK,572.82866
507,AUTO,5114.39461
507,WALK,5.18124
508,AUTO,3262.22974
509,AUTO,11978.55402
509,WALK,3.44728
510,AUTO,3550.7532
510,WALK,2484.41861
511,AUTO,12908.40417
511,BIKE,1017.77381
511,CAR_SHARE,18.44573
511,WALK,344.78904
512,AUTO,6596.70254
512,WALK,1946.08892
513,AUTO,3864.77837
513,WALK,281.77862
514,AUTO,5798.58853
514,WALK,937.3096
515,AUTO,7724.04328
515,TRANSIT,535.38416
515,WALK,80.5267
516,AUTO,5448.32836
516,WALK,344.98511
517,AUTO,20550.72648
517,BIKE,3679.77654
517,OTHER,119.03877
517,WALK,23749.73626
