PERSON_TYPE,PER,ORIG_PURPOSE,TIME_USE
ALL,11,HOME,7177.95389374999
ALL,11,MEAL,583.394073958334
ALL,11,OTHER,0
ALL,11,SCHOOL,3306.30638458333
ALL,11,SHOP,2256.842438125
ALL,11,SOC AND REC,1463.38197895833
ALL,11,WORK,11477.9549979167
ALL,12,COMMUTE,5379.11195260364
ALL,12,ESCORT,1861.20353520833
ALL,12,HOME,6608.26643125
ALL,12,MEAL,612.544295625
ALL,12,OTHER,0
ALL,12,SCHOOL,3563.33415979166
ALL,12,SHOP,2937.965320625
ALL,12,SOC AND REC,1656.81204125
ALL,12,WORK,14007.7256214583
ALL,13,COMMUTE,4942.22970996907
ALL,13,ESCORT,1860.51158854167
ALL,13,HOME,6314.93417604167
ALL,13,MEAL,700.584264791667
ALL,13,OTHER,0
ALL,13,SCHOOL,4234.2594575
ALL,13,SHOP,4120.51854625001
ALL,13,SOC AND REC,2024.21665520833
ALL,13,WORK,15574.77755625
ALL,14,COMMUTE,4602.51434769261
ALL,14,ESCORT,1600.383425
ALL,14,HOME,6518.83879895833
ALL,14,MEAL,713.6110425
ALL,14,OTHER,0
ALL,14,SCHOOL,4252.456979375
ALL,14,SHOP,5115.12302895833
ALL,14,SOC AND REC,2542.29421166667
ALL,14,WORK,16659.6056827083
ALL,15,COMMUTE,4771.39451121753
ALL,15,ESCORT,1699.89678083333
ALL,15,HOME,6566.266691875
ALL,15,MEAL,612.220647916667
ALL,15,OTHER,0
ALL,15,SCHOOL,4264.57921166666
ALL,15,SHOP,5937.37256270834
ALL,15,SOC AND REC,2970.61772791666
ALL,15,WORK,17298.8684914583
ALL,16,COMMUTE,4615.01775675124
ALL,16,ESCORT,1696.69375645833
ALL,16,HOME,7331.26669020833
ALL,16,MEAL,749.65972
ALL,16,OTHER,0
ALL,16,SCHOOL,4314.514599375
ALL,16,SHOP,6707.34566145834
ALL,16,SOC AND REC,3077.62580770833
ALL,16,WORK,17434.2666412499
ALL,17,COMMUTE,4556.5819447486
ALL,17,ESCORT,1652.55181104167
ALL,17,HOME,7662.67953249999
ALL,17,MEAL,1026.834371875
ALL,17,OTHER,0
ALL,17,SCHOOL,4291.57535583333
ALL,17,SHOP,7126.10002479167
ALL,17,SOC AND REC,2803.47407958333
ALL,17,WORK,17642.3651010416
ALL,18,COMMUTE,4599.2282050821
ALL,18,ESCORT,1751.83148083333
ALL,18,HOME,7988.36117291666
ALL,18,MEAL,1788.34931729167
ALL,18,OTHER,0
ALL,18,SCHOOL,4312.97393895833
ALL,18,SHOP,7167.60141250001
ALL,18,SOC AND REC,2808.965506875
ALL,18,WORK,17616.1036054166
ALL,19,COMMUTE,4782.97958349101
ALL,19,ESCORT,1796.96683645833
ALL,19,HOME,8668.53166562501
ALL,19,MEAL,2626.86427145833
ALL,19,OTHER,0
ALL,19,SCHOOL,4320.09497375
ALL,19,SHOP,6533.98731354167
ALL,19,SOC AND REC,2851.28809125
ALL,19,WORK,17474.35308375
ALL,20,COMMUTE,4717.76237367053
ALL,20,ESCORT,1734.66343979167
ALL,20,HOME,8505.49580166668
ALL,20,MEAL,2897.45375604167
ALL,20,OTHER,0
ALL,20,SCHOOL,4191.58394520833
ALL,20,SHOP,6463.61197895834
ALL,20,SOC AND REC,2836.99887520833
ALL,20,WORK,17267.9016404166
ALL,21,COMMUTE,4782.80809280007
ALL,21,ESCORT,1729.571163125
ALL,21,HOME,8841.29091729168
ALL,21,MEAL,2503.09498416667
ALL,21,OTHER,0
ALL,21,SCHOOL,4082.51188708333
ALL,21,SHOP,6629.38783312501
ALL,21,SOC AND REC,2897.563413125
ALL,21,WORK,17329.0897175
ALL,22,COMMUTE,4622.74232244128
ALL,22,ESCORT,1774.382141875
ALL,22,HOME,8882.47997833335
ALL,22,MEAL,1697.484116875
ALL,22,OTHER,0
ALL,22,SCHOOL,4137.99109354166
ALL,22,SHOP,6452.21895020833
ALL,22,SOC AND REC,2831.73698875
ALL,22,WORK,17535.1931379166
ALL,23,COMMUTE,4955.62640520554
ALL,23,ESCORT,1738.26693854167
ALL,23,HOME,9138.97319166669
ALL,23,MEAL,1448.34827833333
ALL,23,OTHER,0
ALL,23,SCHOOL,3855.49067583333
ALL,23,SHOP,6530.27164291668
ALL,23,SOC AND REC,2805.58577520834
ALL,23,WORK,17433.8763672916
ALL,24,COMMUTE,5048.44690724805
ALL,24,ESCORT,1753.51290208333
ALL,24,HOME,9272.75770229169
ALL,24,MEAL,1327.69955145833
ALL,24,OTHER,0
ALL,24,SCHOOL,3509.87831729166
ALL,24,SHOP,6086.82517
ALL,24,SOC AND REC,3031.81860625
ALL,24,WORK,17221.179034375
ALL,25,COMMUTE,5814.86398746107
ALL,25,ESCORT,2028.802039375
ALL,25,HOME,10344.7806472917
ALL,25,MEAL,1058.23630083333
ALL,25,OTHER,0
ALL,25,SCHOOL,3168.721650625
ALL,25,SHOP,6197.94105375001
ALL,25,SOC AND REC,2791.74720729167
ALL,25,WORK,16805.8329020833
ALL,26,COMMUTE,6159.78856154635
ALL,26,ESCORT,1951.19264583333
ALL,26,HOME,10947.049511875
ALL,26,MEAL,865.537273958333
ALL,26,OTHER,0
ALL,26,SCHOOL,2327.696824375
ALL,26,SHOP,5449.1548
ALL,26,SOC AND REC,2665.96171395834
ALL,26,WORK,16124.2955891666
ALL,27,COMMUTE,6689.53688953295
ALL,27,ESCORT,2007.66579395833
ALL,27,HOME,11524.72762
ALL,27,MEAL,984.574696041667
ALL,27,OTHER,0
ALL,27,SCHOOL,1841.462904375
ALL,27,SHOP,5274.59403708333
ALL,27,SOC AND REC,2550.037643125
ALL,27,WORK,14916.8313970833
ALL,28,COMMUTE,7118.2732209453
ALL,28,ESCORT,1858.65740458333
ALL,28,HOME,12318.1568627084
ALL,28,MEAL,1138.51545583333
ALL,28,OTHER,0
ALL,28,SCHOOL,1192.902326875
ALL,28,SHOP,4667.22906895833
ALL,28,SOC AND REC,2644.14102020834
ALL,28,WORK,13006.54067875
ALL,29,COMMUTE,8022.64589957968
ALL,29,ESCORT,1698.39787770833
ALL,29,HOME,12759.664135
ALL,29,MEAL,1638.12635
ALL,29,OTHER,0
ALL,29,SCHOOL,1064.30117520833
ALL,29,SHOP,4640.79342208333
ALL,29,SOC AND REC,3128.6265825
ALL,29,WORK,10832.9831410417
ALL,30,COMMUTE,7817.09931718323
ALL,30,ESCORT,1360.52963416667
ALL,30,HOME,13491.7786389583
ALL,30,MEAL,1954.1583225
ALL,30,OTHER,0
ALL,30,SCHOOL,838.803627083333
ALL,30,SHOP,4479.296305
ALL,30,SOC AND REC,3527.51978916667
ALL,30,WORK,7608.18348354165
ALL,31,COMMUTE,7340.62366436846
ALL,31,ESCORT,1012.98040854167
ALL,31,HOME,13844.7412979167
ALL,31,MEAL,2093.21890833333
ALL,31,OTHER,0
ALL,31,SCHOOL,683.858409166667
ALL,31,SHOP,4567.47014625001
ALL,31,SOC AND REC,4109.09771166667
ALL,31,WORK,5346.80966916667
ALL,32,COMMUTE,5302.90858605742
ALL,32,ESCORT,861.978332083333
ALL,32,HOME,12159.6069522917
ALL,32,MEAL,2084.84377479166
ALL,32,OTHER,0
ALL,32,SCHOOL,624.142167083333
ALL,32,SHOP,3867.477596875
ALL,32,SOC AND REC,4404.09113291666
ALL,32,WORK,3829.854364375
ALL,33,COMMUTE,4349.45791422954
ALL,33,ESCORT,849.252642708333
ALL,33,HOME,11066.4837397917
ALL,33,MEAL,2237.173394375
ALL,33,OTHER,0
ALL,33,SCHOOL,541.485040833334
ALL,33,SHOP,3658.69496875
ALL,33,SOC AND REC,4563.55692812499
ALL,33,WORK,3285.393079375
ALL,34,COMMUTE,3155.19397679401
ALL,34,ESCORT,575.407858125
ALL,34,HOME,10394.4911985417
ALL,34,MEAL,2037.901835625
ALL,34,OTHER,0
ALL,34,SCHOOL,499.553256875
ALL,34,SHOP,2884.86294979167
ALL,34,SOC AND REC,3871.32483770834
ALL,34,WORK,2835.75106375
ALL,35,COMMUTE,2818.59714368823
ALL,35,ESCORT,580.643743541667
ALL,35,HOME,10335.7156170833
ALL,35,MEAL,1963.41766166667
ALL,35,OTHER,0
ALL,35,SCHOOL,454.464419166667
ALL,35,SHOP,2252.58489625
ALL,35,SOC AND REC,3263.608305625
ALL,35,WORK,2430.89702291667
ALL,36,COMMUTE,2226.86717277718
ALL,36,ESCORT,549.757175625
ALL,36,HOME,10199.5534585417
ALL,36,MEAL,1602.299526875
ALL,36,OTHER,0
ALL,36,SCHOOL,251.461497708333
ALL,36,SHOP,1647.82839604167
ALL,36,SOC AND REC,2676.16210875
ALL,36,WORK,1818.91357020833
ALL,37,COMMUTE,1937.30025685209
ALL,37,ESCORT,367.897811458333
ALL,37,HOME,9774.655681875
ALL,37,MEAL,1350.78607958333
ALL,37,OTHER,0
ALL,37,SCHOOL,172.524629791667
ALL,37,SHOP,1015.4920775
ALL,37,SOC AND REC,2021.227239375
ALL,37,WORK,1469.34031916667
ALL,38,COMMUTE,1684.19151328094
ALL,38,ESCORT,309.962736875
ALL,38,HOME,9839.49769958331
ALL,38,MEAL,955.848125208333
ALL,38,OTHER,0
ALL,38,SCHOOL,60.1506770833333
ALL,38,SHOP,690.062343541667
ALL,38,SOC AND REC,1539.277359375
ALL,38,WORK,1153.2773625
ALL,39,COMMUTE,1205.47326665059
ALL,39,ESCORT,223.889685833333
ALL,39,HOME,9429.29516166667
ALL,39,MEAL,638.919992916667
ALL,39,OTHER,0
ALL,39,SCHOOL,47.0305039583333
ALL,39,SHOP,479.240687916667
ALL,39,SOC AND REC,900.232001041667
ALL,39,WORK,913.005421875
ALL,40,COMMUTE,829.223249648779
ALL,40,ESCORT,210.799732083333
ALL,40,HOME,8920.75421895834
ALL,40,MEAL,370.30937875
ALL,40,OTHER,0
ALL,40,SCHOOL,10.0276420833333
ALL,40,SHOP,435.390176666667
ALL,40,SOC AND REC,615.924725833333
ALL,40,WORK,728.4104875
ALL,41,COMMUTE,662.178022009297
ALL,41,ESCORT,197.094306041667
ALL,41,HOME,9034.25365291666
ALL,41,MEAL,173.170707291667
ALL,41,OTHER,0
ALL,41,SCHOOL,8.21276125
ALL,41,SHOP,362.916001875
ALL,41,SOC AND REC,498.213941041666
ALL,41,WORK,525.127605833334
ALL,42,COMMUTE,505.209493036983
ALL,42,ESCORT,147.650844375
ALL,42,HOME,8719.72460979167
ALL,42,MEAL,141.229733333333
ALL,42,OTHER,0
ALL,42,SCHOOL,8.21276125
ALL,42,SHOP,286.999766875
ALL,42,SOC AND REC,373.46329125
ALL,42,WORK,454.082034583333
ALL,43,COMMUTE,416.163540163264
ALL,43,ESCORT,141.265480208333
ALL,43,HOME,8709.63201416666
ALL,43,MEAL,107.188760416667
ALL,43,OTHER,0
ALL,43,SCHOOL,8.21276125
ALL,43,SHOP,225.060232291667
ALL,43,SOC AND REC,291.260559791667
ALL,43,WORK,341.377075833333
ALL,44,COMMUTE,302.870964800648
ALL,44,ESCORT,120.756708125
ALL,44,HOME,8530.403963125
ALL,44,MEAL,104.899650625
ALL,44,OTHER,0
ALL,44,SCHOOL,4.116800625
ALL,44,SHOP,195.296912708333
ALL,44,SOC AND REC,243.6751125
ALL,44,WORK,230.658128333333
ALL,45,COMMUTE,270.284578523912
ALL,45,ESCORT,114.710368125
ALL,45,HOME,8537.52740083333
ALL,45,MEAL,87.291295
ALL,45,OTHER,0
ALL,45,SCHOOL,0
ALL,45,SHOP,155.261943541667
ALL,45,SOC AND REC,198.2013375
ALL,45,WORK,197.928528541667
ALL,46,COMMUTE,256.362187459435
ALL,46,ESCORT,119.469306041667
ALL,46,HOME,8584.86302479167
ALL,46,MEAL,80.98420625
ALL,46,OTHER,0
ALL,46,SCHOOL,0
ALL,46,SHOP,158.0804725
ALL,46,SOC AND REC,188.961093125
ALL,46,WORK,192.939289166667
ALL,47,COMMUTE,228.427022954961
ALL,47,ESCORT,124.399273958333
ALL,47,HOME,8512.59469125
ALL,47,MEAL,103.723726041667
ALL,47,OTHER,0
ALL,47,SCHOOL,0
ALL,47,SHOP,145.69206875
ALL,47,SOC AND REC,190.484345625
ALL,47,WORK,178.634517708333
ALL,48,COMMUTE,221.807853125309
ALL,48,ESCORT,102.877710833333
ALL,48,HOME,8526.09609708333
ALL,48,MEAL,94.0256341666667
ALL,48,OTHER,0
ALL,48,SCHOOL,0
ALL,48,SHOP,144.256559166667
ALL,48,SOC AND REC,173.048788541667
ALL,48,WORK,169.397017083333
CHILD AGE 0 TO 4,1,COMMUTE,0
CHILD AGE 0 TO 4,1,ESCORT,42.988936875
CHILD AGE 0 TO 4,1,HOME,619.747835416667
CHILD AGE 0 TO 4,1,MEAL,3.22623979166667
CHILD AGE 0 TO 4,1,OTHER,0
CHILD AGE 0 TO 4,1,SCHOOL,0
CHILD AGE 0 TO 4,1,SHOP,3.784705
CHILD AGE 0 TO 4,1,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,1,WORK,0
CHILD AGE 0 TO 4,2,COMMUTE,0
CHILD AGE 0 TO 4,2,ESCORT,42.988936875
CHILD AGE 0 TO 4,2,HOME,619.747835416667
CHILD AGE 0 TO 4,2,MEAL,3.22623979166667
CHILD AGE 0 TO 4,2,OTHER,0
CHILD AGE 0 TO 4,2,SCHOOL,0
CHILD AGE 0 TO 4,2,SHOP,3.784705
CHILD AGE 0 TO 4,2,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,2,WORK,0
CHILD AGE 0 TO 4,3,COMMUTE,0
CHILD AGE 0 TO 4,3,ESCORT,42.988936875
CHILD AGE 0 TO 4,3,HOME,619.747835416667
CHILD AGE 0 TO 4,3,MEAL,3.22623979166667
CHILD AGE 0 TO 4,3,OTHER,0
CHILD AGE 0 TO 4,3,SCHOOL,0
CHILD AGE 0 TO 4,3,SHOP,3.784705
CHILD AGE 0 TO 4,3,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,3,WORK,0
CHILD AGE 0 TO 4,4,COMMUTE,0
CHILD AGE 0 TO 4,4,ESCORT,42.988936875
CHILD AGE 0 TO 4,4,HOME,619.747835416667
CHILD AGE 0 TO 4,4,MEAL,3.22623979166667
CHILD AGE 0 TO 4,4,OTHER,0
CHILD AGE 0 TO 4,4,SCHOOL,0
CHILD AGE 0 TO 4,4,SHOP,3.784705
CHILD AGE 0 TO 4,4,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,4,WORK,0
CHILD AGE 0 TO 4,5,COMMUTE,17.4570630027778
CHILD AGE 0 TO 4,5,ESCORT,67.6923279166667
CHILD AGE 0 TO 4,5,HOME,619.747835416667
CHILD AGE 0 TO 4,5,MEAL,3.22623979166667
CHILD AGE 0 TO 4,5,OTHER,0
CHILD AGE 0 TO 4,5,SCHOOL,0
CHILD AGE 0 TO 4,5,SHOP,3.784705
CHILD AGE 0 TO 4,5,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,5,WORK,0
CHILD AGE 0 TO 4,6,COMMUTE,4.01232541666667
CHILD AGE 0 TO 4,6,ESCORT,67.6923279166667
CHILD AGE 0 TO 4,6,HOME,595.044444375
CHILD AGE 0 TO 4,6,MEAL,3.22623979166667
CHILD AGE 0 TO 4,6,OTHER,0
CHILD AGE 0 TO 4,6,SCHOOL,0
CHILD AGE 0 TO 4,6,SHOP,3.784705
CHILD AGE 0 TO 4,6,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,6,WORK,0
CHILD AGE 0 TO 4,7,COMMUTE,20.4950119457176
CHILD AGE 0 TO 4,7,ESCORT,85.4272533333334
CHILD AGE 0 TO 4,7,HOME,595.044444375
CHILD AGE 0 TO 4,7,MEAL,8.71588229166667
CHILD AGE 0 TO 4,7,OTHER,0
CHILD AGE 0 TO 4,7,SCHOOL,0
CHILD AGE 0 TO 4,7,SHOP,9.0544775
CHILD AGE 0 TO 4,7,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,7,WORK,0
CHILD AGE 0 TO 4,8,COMMUTE,43.9285336262732
CHILD AGE 0 TO 4,8,ESCORT,80.575686875
CHILD AGE 0 TO 4,8,HOME,592.631744166667
CHILD AGE 0 TO 4,8,MEAL,3.22623979166667
CHILD AGE 0 TO 4,8,OTHER,0
CHILD AGE 0 TO 4,8,SCHOOL,42.07630125
CHILD AGE 0 TO 4,8,SHOP,3.784705
CHILD AGE 0 TO 4,8,SOC AND REC,12.0668464583333
CHILD AGE 0 TO 4,8,WORK,0
CHILD AGE 0 TO 4,9,COMMUTE,132.927441828241
CHILD AGE 0 TO 4,9,ESCORT,232.689596875
CHILD AGE 0 TO 4,9,HOME,588.840739375
CHILD AGE 0 TO 4,9,MEAL,6.411963125
CHILD AGE 0 TO 4,9,OTHER,0
CHILD AGE 0 TO 4,9,SCHOOL,128.505583958333
CHILD AGE 0 TO 4,9,SHOP,5.68877916666667
CHILD AGE 0 TO 4,9,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,9,WORK,1.26156833333333
CHILD AGE 0 TO 4,10,COMMUTE,174.906490615857
CHILD AGE 0 TO 4,10,ESCORT,332.491545416667
CHILD AGE 0 TO 4,10,HOME,488.313331875
CHILD AGE 0 TO 4,10,MEAL,4.17530145833333
CHILD AGE 0 TO 4,10,OTHER,0
CHILD AGE 0 TO 4,10,SCHOOL,182.042047083333
CHILD AGE 0 TO 4,10,SHOP,30.2401752083333
CHILD AGE 0 TO 4,10,SOC AND REC,17.01606125
CHILD AGE 0 TO 4,10,WORK,0
CHILD AGE 0 TO 4,11,COMMUTE,160.325921702431
CHILD AGE 0 TO 4,11,ESCORT,340.456962916667
CHILD AGE 0 TO 4,11,HOME,465.192055208333
CHILD AGE 0 TO 4,11,MEAL,18.7593066666667
CHILD AGE 0 TO 4,11,OTHER,0
CHILD AGE 0 TO 4,11,SCHOOL,269.561256875
CHILD AGE 0 TO 4,11,SHOP,22.23968
CHILD AGE 0 TO 4,11,SOC AND REC,29.3677566666667
CHILD AGE 0 TO 4,11,WORK,0.218085208333333
CHILD AGE 0 TO 4,12,COMMUTE,247.000743949769
CHILD AGE 0 TO 4,12,ESCORT,518.129528958333
CHILD AGE 0 TO 4,12,HOME,466.592775833333
CHILD AGE 0 TO 4,12,MEAL,21.6576816666667
CHILD AGE 0 TO 4,12,OTHER,0
CHILD AGE 0 TO 4,12,SCHOOL,329.67827125
CHILD AGE 0 TO 4,12,SHOP,46.7349735416667
CHILD AGE 0 TO 4,12,SOC AND REC,74.2314839583333
CHILD AGE 0 TO 4,12,WORK,24.9214764583333
CHILD AGE 0 TO 4,13,COMMUTE,132.322850955093
CHILD AGE 0 TO 4,13,ESCORT,512.491196875
CHILD AGE 0 TO 4,13,HOME,392.56484
CHILD AGE 0 TO 4,13,MEAL,18.7436016666667
CHILD AGE 0 TO 4,13,OTHER,0
CHILD AGE 0 TO 4,13,SCHOOL,363.552903125
CHILD AGE 0 TO 4,13,SHOP,125.663421041667
CHILD AGE 0 TO 4,13,SOC AND REC,81.7716339583333
CHILD AGE 0 TO 4,13,WORK,39.4796670833333
CHILD AGE 0 TO 4,14,COMMUTE,119.514415415046
CHILD AGE 0 TO 4,14,ESCORT,450.399575416667
CHILD AGE 0 TO 4,14,HOME,414.199639166667
CHILD AGE 0 TO 4,14,MEAL,16.0515035416667
CHILD AGE 0 TO 4,14,OTHER,0
CHILD AGE 0 TO 4,14,SCHOOL,363.552903125
CHILD AGE 0 TO 4,14,SHOP,113.44189625
CHILD AGE 0 TO 4,14,SOC AND REC,102.961436875
CHILD AGE 0 TO 4,14,WORK,39.4796670833333
CHILD AGE 0 TO 4,15,COMMUTE,128.162327748727
CHILD AGE 0 TO 4,15,ESCORT,464.575225
CHILD AGE 0 TO 4,15,HOME,413.65256625
CHILD AGE 0 TO 4,15,MEAL,36.6247554166667
CHILD AGE 0 TO 4,15,OTHER,0
CHILD AGE 0 TO 4,15,SCHOOL,360.261592291667
CHILD AGE 0 TO 4,15,SHOP,223.43493875
CHILD AGE 0 TO 4,15,SOC AND REC,152.811158958333
CHILD AGE 0 TO 4,15,WORK,39.4796670833333
CHILD AGE 0 TO 4,16,COMMUTE,104.286820325843
CHILD AGE 0 TO 4,16,ESCORT,470.568396041667
CHILD AGE 0 TO 4,16,HOME,394.536625208333
CHILD AGE 0 TO 4,16,MEAL,35.9634122916667
CHILD AGE 0 TO 4,16,OTHER,0
CHILD AGE 0 TO 4,16,SCHOOL,375.387317083333
CHILD AGE 0 TO 4,16,SHOP,143.415451458333
CHILD AGE 0 TO 4,16,SOC AND REC,241.42225875
CHILD AGE 0 TO 4,16,WORK,39.4796670833333
CHILD AGE 0 TO 4,17,COMMUTE,85.5769734991072
CHILD AGE 0 TO 4,17,ESCORT,443.928803125
CHILD AGE 0 TO 4,17,HOME,494.123547708333
CHILD AGE 0 TO 4,17,MEAL,5.07066020833333
CHILD AGE 0 TO 4,17,OTHER,0
CHILD AGE 0 TO 4,17,SCHOOL,375.387317083333
CHILD AGE 0 TO 4,17,SHOP,106.125644166667
CHILD AGE 0 TO 4,17,SOC AND REC,180.688898125
CHILD AGE 0 TO 4,17,WORK,39.4796670833333
CHILD AGE 0 TO 4,18,COMMUTE,74.9896707574405
CHILD AGE 0 TO 4,18,ESCORT,449.547399375
CHILD AGE 0 TO 4,18,HOME,478.718597708333
CHILD AGE 0 TO 4,18,MEAL,14.8880033333333
CHILD AGE 0 TO 4,18,OTHER,0
CHILD AGE 0 TO 4,18,SCHOOL,360.56458125
CHILD AGE 0 TO 4,18,SHOP,115.742336666667
CHILD AGE 0 TO 4,18,SOC AND REC,186.441078958333
CHILD AGE 0 TO 4,18,WORK,39.4796670833333
CHILD AGE 0 TO 4,19,COMMUTE,93.5132669810516
CHILD AGE 0 TO 4,19,ESCORT,490.033205625
CHILD AGE 0 TO 4,19,HOME,539.893315
CHILD AGE 0 TO 4,19,MEAL,17.412565
CHILD AGE 0 TO 4,19,OTHER,0
CHILD AGE 0 TO 4,19,SCHOOL,360.56458125
CHILD AGE 0 TO 4,19,SHOP,136.2836275
CHILD AGE 0 TO 4,19,SOC AND REC,138.529288125
CHILD AGE 0 TO 4,19,WORK,39.4796670833333
CHILD AGE 0 TO 4,20,COMMUTE,71.447033688459
CHILD AGE 0 TO 4,20,ESCORT,475.122805833333
CHILD AGE 0 TO 4,20,HOME,551.817980416667
CHILD AGE 0 TO 4,20,MEAL,38.850810625
CHILD AGE 0 TO 4,20,OTHER,0
CHILD AGE 0 TO 4,20,SCHOOL,340.28661875
CHILD AGE 0 TO 4,20,SHOP,100.741373541667
CHILD AGE 0 TO 4,20,SOC AND REC,128.316735208333
CHILD AGE 0 TO 4,20,WORK,39.4796670833333
CHILD AGE 0 TO 4,21,COMMUTE,91.9842243898479
CHILD AGE 0 TO 4,21,ESCORT,441.291757916667
CHILD AGE 0 TO 4,21,HOME,581.445336041667
CHILD AGE 0 TO 4,21,MEAL,64.540033125
CHILD AGE 0 TO 4,21,OTHER,0
CHILD AGE 0 TO 4,21,SCHOOL,336.156479583333
CHILD AGE 0 TO 4,21,SHOP,121.3900275
CHILD AGE 0 TO 4,21,SOC AND REC,109.041134583333
CHILD AGE 0 TO 4,21,WORK,39.4796670833333
CHILD AGE 0 TO 4,22,COMMUTE,87.4329230219081
CHILD AGE 0 TO 4,22,ESCORT,433.434503333333
CHILD AGE 0 TO 4,22,HOME,575.734500625
CHILD AGE 0 TO 4,22,MEAL,16.3074291666667
CHILD AGE 0 TO 4,22,OTHER,0
CHILD AGE 0 TO 4,22,SCHOOL,335.210303333333
CHILD AGE 0 TO 4,22,SHOP,144.25075625
CHILD AGE 0 TO 4,22,SOC AND REC,88.619465625
CHILD AGE 0 TO 4,22,WORK,47.6927895833333
CHILD AGE 0 TO 4,23,COMMUTE,74.2210128376158
CHILD AGE 0 TO 4,23,ESCORT,416.897608541667
CHILD AGE 0 TO 4,23,HOME,524.631068541666
CHILD AGE 0 TO 4,23,MEAL,15.86461375
CHILD AGE 0 TO 4,23,OTHER,0
CHILD AGE 0 TO 4,23,SCHOOL,328.239378958333
CHILD AGE 0 TO 4,23,SHOP,121.7619975
CHILD AGE 0 TO 4,23,SOC AND REC,66.13146
CHILD AGE 0 TO 4,23,WORK,47.6927895833333
CHILD AGE 0 TO 4,24,COMMUTE,90.132222887963
CHILD AGE 0 TO 4,24,ESCORT,422.580390416667
CHILD AGE 0 TO 4,24,HOME,534.275175625
CHILD AGE 0 TO 4,24,MEAL,20.001574375
