ZONE,COUNTY,MODE,TRIPS
210,Hillsborough County,WALK,1075.85096
211,Hillsborough County,AUTO,3419.68841
213,Hillsborough County,AUTO,3595.43384
213,Hillsborough County,WALK,9423.68356
214,Hillsborough County,AUTO,455.05238
215,Hillsborough County,AUTO,6724.7171
215,Hillsborough County,TRANSIT,58.56145
216,Hillsborough County,AUTO,2831.60957
217,Hillsborough County,AUTO,29487.64347
218,Hillsborough County,AUTO,13381.64236
219,Hillsborough County,AUTO,635.50398
219,Hillsborough County,WALK,9.03296
220,Hillsborough County,AUTO,4980.61974
221,Hillsborough County,AUTO,1439.61404
222,Hillsborough County,AUTO,1673.99212
223,Hillsborough County,AUTO,3917.86174
224,Hillsborough County,AUTO,9456.61846
224,Hillsborough County,WALK,2169.14866
225,Hillsborough County,AUTO,1422.66154
225,Hillsborough County,BIKE,80.24395
227,Hillsborough County,AUTO,79.75199
228,Hillsborough County,AUTO,620.45872
230,Hillsborough County,AUTO,333.67639
232,Hillsborough County,AUTO,5290.37396
233,Hillsborough County,AUTO,197.80612
234,Hillsborough County,AUTO,1514.9294
235,Hillsborough County,AUTO,199.9251
236,Hillsborough County,AUTO,21577.23502
237,Hillsborough County,AUTO,12044.93375
238,Hillsborough County,AUTO,3040.288
238,Hillsborough County,TNC,97.91104
238,Hillsborough County,WALK,97.91104
239,Hillsborough County,AUTO,298.0735
240,Hillsborough County,AUTO,662.20966
240,Hillsborough County,WALK,2391.86268
241,Hillsborough County,AUTO,5984.85873
242,Hillsborough County,AUTO,3844.03865
242,Hillsborough County,SCHOOL_BUS,694.01719
242,Hillsborough County,WALK,177.32399
243,Hillsborough County,AUTO,37.81655
243,Hillsborough County,TRANSIT,149.74679
243,Hillsborough County,WALK,371.85029
244,Hillsborough County,AUTO,4954.48051
244,Hillsborough County,WALK,1934.78209
245,Hillsborough County,AUTO,10043.39612
245,Hillsborough County,WALK,4278.22488
246,Hillsborough County,WALK,183.5623
247,Hillsborough County,AUTO,2427.81996
247,Hillsborough County,WALK,78.10854
248,Hillsborough County,AUTO,201.57246
248,Hillsborough County,WALK,36.56722
249,Hillsborough County,AUTO,412.10647
249,Hillsborough County,TRANSIT,18.28361
250,Hillsborough County,AUTO,2048.18086
251,Hillsborough County,AUTO,6920.55616
251,Hillsborough County,TRANSIT,136.39127
252,Hillsborough County,AUTO,284.27668
253,Hillsborough County,AUTO,2251.31544
254,Hillsborough County,AUTO,240.49824
255,Hillsborough County,AUTO,9733.92464
256,Hillsborough County,AUTO,1101.94878
257,Hillsborough County,AUTO,16183.78902
257,Hillsborough County,WALK,17759.59036
258,Hillsborough County,AUTO,3316.68666
258,Hillsborough County,WALK,3833.34624
259,Hillsborough County,AUTO,13493.25006
260,Hillsborough County,AUTO,11582.79685
260,Hillsborough County,WALK,617.38704
261,Hillsborough County,AUTO,2245.52707
262,Hillsborough County,AUTO,2563.82871
262,Hillsborough County,TRANSIT,136.39127
262,Hillsborough County,WALK,136.39127
263,Hillsborough County,AUTO,119.60062
264,Hillsborough County,AUTO,2317.3706
266,Hillsborough County,AUTO,241.15146
267,Hillsborough County,AUTO,2961.26768
268,Hillsborough County,AUTO,1497.61397
269,Hillsborough County,AUTO,8639.37742
270,Hillsborough County,AUTO,735.88409
270,Hillsborough County,TRANSIT,148.41916
271,Hillsborough County,AUTO,306.83601
271,Hillsborough County,WALK,2828.44989
272,Hillsborough County,AUTO,14357.20363
272,Hillsborough County,WALK,95.79434
273,Hillsborough County,AUTO,2672.12505
274,Hillsborough County,AUTO,882.88709
274,Hillsborough County,WALK,1437.86511
275,Hillsborough County,AUTO,2754.51091
276,Hillsborough County,AUTO,1776.85422
