ZONE,COUNTY,MODE,TRIPS
65,Hillsborough County,OTHER,98.30453
65,Hillsborough County,SCHOOL_BUS,0
65,Hillsborough County,SHUTTLE_VANPOOL,0
65,Hillsborough County,TNC,0
65,Hillsborough County,TRANSIT,0
65,Hillsborough County,WALK,0
68,Hillsborough County,BIKE,0
68,Hillsborough County,BIKE_SHARE,0
68,Hillsborough County,CAR,0
68,Hillsborough County,CAR_SHARE,0
68,Hillsborough County,LONG_DIST_PASS,0
68,Hillsborough County,MISSING,0
68,Hillsborough County,OTHER,0
68,Hillsborough County,SCHOOL_BUS,0
68,Hillsborough County,SHUTTLE_VANPOOL,0
68,Hillsborough County,TNC,0
68,Hillsborough County,TRANSIT,0
68,Hillsborough County,WALK,0
69,Hillsborough County,BIKE,0
69,Hillsborough County,BIKE_SHARE,0
69,Hillsborough County,CAR,58.59748
69,Hillsborough County,CAR_SHARE,0
69,Hillsborough County,LONG_DIST_PASS,0
69,Hillsborough County,MISSING,0
69,Hillsborough County,OTHER,0
69,Hillsborough County,SCHOOL_BUS,0
69,Hillsborough County,SHUTTLE_VANPOOL,0
69,Hillsborough County,TNC,0
69,Hillsborough County,TRANSIT,0
69,Hillsborough County,WALK,0
72,Hillsborough County,BIKE,0
72,Hillsborough County,BIKE_SHARE,0
72,Hillsborough County,CAR,2283.72154
72,Hillsborough County,CAR_SHARE,0
72,Hillsborough County,LONG_DIST_PASS,0
72,Hillsborough County,MISSING,0
72,Hillsborough County,OTHER,0
72,Hillsborough County,SCHOOL_BUS,0
72,Hillsborough County,SHUTTLE_VANPOOL,0
72,Hillsborough County,TNC,0
72,Hillsborough County,TRANSIT,0
72,Hillsborough County,WALK,0
74,Hillsborough County,BIKE,0
74,Hillsborough County,BIKE_SHARE,0
74,Hillsborough County,CAR,103.82201
74,Hillsborough County,CAR_SHARE,0
74,Hillsborough County,LONG_DIST_PASS,0
74,Hillsborough County,MISSING,0
74,Hillsborough County,OTHER,0
74,Hillsborough County,SCHOOL_BUS,0
74,Hillsborough County,SHUTTLE_VANPOOL,0
74,Hillsborough County,TNC,0
74,Hillsborough County,TRANSIT,0
74,Hillsborough County,WALK,0
77,Hillsborough County,BIKE,0
77,Hillsborough County,BIKE_SHARE,0
77,Hillsborough County,CAR,1407.02136
