FROM,TO,TRIPS
St Petersburg Clearwater Area,Pasco,0
St Petersburg Clearwater Area,Pinellas Beaches,0
St Petersburg Clearwater Area,Pinellas Central,0
St Petersburg Clearwater Area,Pinellas North,2330.99874
St Petersburg Clearwater Area,Pinellas North Central,157.65798
St Petersburg Clearwater Area,Pinellas South,32.02904
St Petersburg Clearwater Area,St Petersburg Clearwater Area,39.96822
St Petersburg Clearwater Area,Tarpon Springs Area,0
St Petersburg Clearwater Area,Tyrone Square Area,0
Tarpon Springs Area,,0
Tarpon Springs Area,Clearwater Dwntwn,0
Tarpon Springs Area,Clearwater Mall,0
Tarpon Springs Area,Countryside Mall,0
Tarpon Springs Area,Dwntwn USF Albert Whitted Airport,0
Tarpon Springs Area,Gateway Area,0
Tarpon Springs Area,Grand Central Area,0
Tarpon Springs Area,Hernando  Citrus,6.09454
Tarpon Springs Area,Hillsborough,18.28361
Tarpon Springs Area,Manatee Spur,0
Tarpon Springs Area,Mid-Cnty Ind Area,0
Tarpon Springs Area,Oldsmar Ind Area,0
Tarpon Springs Area,Pasco,18452.33464
Tarpon Springs Area,Pinellas Beaches,0
Tarpon Springs Area,Pinellas Central,0
Tarpon Springs Area,Pinellas North,1272.08506
Tarpon Springs Area,Pinellas North Central,0
Tarpon Springs Area,Pinellas South,0
Tarpon Springs Area,St Petersburg Clearwater Area,0
Tarpon Springs Area,Tarpon Springs Area,13.46489
Tarpon Springs Area,Tyrone Square Area,0
Tyrone Square Area,,0
Tyrone Square Area,Clearwater Dwntwn,0
Tyrone Square Area,Clearwater Mall,0
Tyrone Square Area,Countryside Mall,0
Tyrone Square Area,Dwntwn USF Albert Whitted Airport,329.003
Tyrone Square Area,Gateway Area,0
Tyrone Square Area,Grand Central Area,0
Tyrone Square Area,Hernando  Citrus,0
Tyrone Square Area,Hillsborough,118.40416
Tyrone Square Area,Manatee Spur,0
Tyrone Square Area,Mid-Cnty Ind Area,0
Tyrone Square Area,Oldsmar Ind Area,0
Tyrone Square Area,Pasco,0
Tyrone Square Area,Pinellas Beaches,43.61154
Tyrone Square Area,Pinellas Central,1416.59139
Tyrone Square Area,Pinellas North,2399.67896
Tyrone Square Area,Pinellas North Central,6040.48772
Tyrone Square Area,Pinellas South,25744.30957
Tyrone Square Area,St Petersburg Clearwater Area,0
Tyrone Square Area,Tarpon Springs Area,0
Tyrone Square Area,Tyrone Square Area,6067.34624
