ZONE,COUNTY,MODE,TRIPS
20,Hillsborough County,TAXI_NOT_TNC,0
20,Hillsborough County,TNC,0
20,Hillsborough County,TRANSIT,0
20,Hillsborough County,WALK,0
21,Hillsborough County,BIKE,0
21,Hillsborough County,BIKE_SHARE,0
21,Hillsborough County,CAR,0
21,Hillsborough County,CAR_SHARE,0
21,Hillsborough County,LONG_DIST_PASS,0
21,Hillsborough County,MISSING,0
21,Hillsborough County,OTHER,0
21,Hillsborough County,SCHOOL_BUS,0
21,Hillsborough County,SHUTTLE_VANPOOL,0
21,Hillsborough County,TAXI_NOT_TNC,0
21,Hillsborough County,TNC,0
21,Hillsborough County,TRANSIT,0
21,Hillsborough County,WALK,0
22,Hillsborough County,BIKE,0
22,Hillsborough County,BIKE_SHARE,0
22,Hillsborough County,CAR,79.3255
22,Hillsborough County,CAR_SHARE,0
22,Hillsborough County,LONG_DIST_PASS,0
22,Hillsborough County,MISSING,0
22,Hillsborough County,OTHER,0
22,Hillsborough County,SCHOOL_BUS,0
22,Hillsborough County,SHUTTLE_VANPOOL,0
22,Hillsborough County,TAXI_NOT_TNC,0
22,Hillsborough County,TNC,0
22,Hillsborough County,TRANSIT,0
22,Hillsborough County,WALK,0
23,Hillsborough County,BIKE,0
23,Hillsborough County,BIKE_SHARE,0
23,Hillsborough County,CAR,39.63968
23,Hillsborough County,CAR_SHARE,0
23,Hillsborough County,LONG_DIST_PASS,0
23,Hillsborough County,MISSING,0
23,Hillsborough County,OTHER,0
23,Hillsborough County,SCHOOL_BUS,0
23,Hillsborough County,SHUTTLE_VANPOOL,0
23,Hillsborough County,TAXI_NOT_TNC,0
23,Hillsborough County,TNC,0
23,Hillsborough County,TRANSIT,0
23,Hillsborough County,WALK,0
24,Hillsborough County,BIKE,0
24,Hillsborough County,BIKE_SHARE,0
24,Hillsborough County,CAR,69.26948
24,Hillsborough County,CAR_SHARE,0
24,Hillsborough County,LONG_DIST_PASS,0
24,Hillsborough County,MISSING,0
24,Hillsborough County,OTHER,0
24,Hillsborough County,SCHOOL_BUS,0
24,Hillsborough County,SHUTTLE_VANPOOL,0
24,Hillsborough County,TAXI_NOT_TNC,0
24,Hillsborough County,TNC,0
24,Hillsborough County,TRANSIT,0
24,Hillsborough County,WALK,0
25,Hillsborough County,BIKE,0
25,Hillsborough County,BIKE_SHARE,0
25,Hillsborough County,CAR,0
25,Hillsborough County,CAR_SHARE,0
25,Hillsborough County,LONG_DIST_PASS,0
25,Hillsborough County,MISSING,0
25,Hillsborough County,OTHER,0
25,Hillsborough County,SCHOOL_BUS,0
25,Hillsborough County,SHUTTLE_VANPOOL,0
25,Hillsborough County,TAXI_NOT_TNC,0
25,Hillsborough County,TNC,0
25,Hillsborough County,TRANSIT,0
25,Hillsborough County,WALK,0
27,Hillsborough County,BIKE,0
27,Hillsborough County,BIKE_SHARE,0
27,Hillsborough County,CAR,9.14181
27,Hillsborough County,CAR_SHARE,0
27,Hillsborough County,LONG_DIST_PASS,0
27,Hillsborough County,MISSING,0
27,Hillsborough County,OTHER,0
27,Hillsborough County,SCHOOL_BUS,0
27,Hillsborough County,SHUTTLE_VANPOOL,0
27,Hillsborough County,TAXI_NOT_TNC,0
27,Hillsborough County,TNC,0
27,Hillsborough County,TRANSIT,0
27,Hillsborough County,WALK,0
29,Hillsborough County,BIKE,0
29,Hillsborough County,BIKE_SHARE,0
29,Hillsborough County,CAR,9.14181
29,Hillsborough County,CAR_SHARE,0
29,Hillsborough County,LONG_DIST_PASS,0
29,Hillsborough County,MISSING,0
29,Hillsborough County,OTHER,0
29,Hillsborough County,SCHOOL_BUS,0
29,Hillsborough County,SHUTTLE_VANPOOL,0
29,Hillsborough County,TAXI_NOT_TNC,0
29,Hillsborough County,TNC,0
29,Hillsborough County,TRANSIT,0
29,Hillsborough County,WALK,0
30,Hillsborough County,BIKE,0
30,Hillsborough County,BIKE_SHARE,0
30,Hillsborough County,CAR,128.02654
30,Hillsborough County,CAR_SHARE,0
30,Hillsborough County,LONG_DIST_PASS,0
30,Hillsborough County,MISSING,0
30,Hillsborough County,OTHER,0
30,Hillsborough County,SCHOOL_BUS,0
30,Hillsborough County,SHUTTLE_VANPOOL,0
30,Hillsborough County,TAXI_NOT_TNC,0
30,Hillsborough County,TNC,0
