FROM,TO,TRIPS
Pinellas,Harney Corridor / Tampa Ex Airpor,1324.2528
Southwest Hillsborough,Harney Corridor / Tampa Ex Airpor,1.73162
CZ1,Harney Corridor / Tampa Ex Airpor,0
CZ4,Northeast Hillsborough,1438.32986
Tampa Central,East Town,9106.44051
Northeast Hillsborough,East Town,6780.308
East Town,East Town,10487.83434
Downtown,East Town,863.6455
Southeast Hillsborough,East Town,20648.04942
West Brandon S Falkenburg Corrido,East Town,8517.98971
Northwest Hillsborough,East Town,4391.68935
USF / Hospitals / Busch Gardens,East Town,951.35582
Southwest Hillsborough,East Town,2115.70315
CZ1,East Town,730.28788
CZ2,East Town,2292.47124
Pasco,East Town,1448.169
Hidden River / Telecom Park,East Town,265.07947
Pinellas,East Town,865.92488
MacDill AFB / Port Tampa,Northeast Hillsborough,1203.8035
CZ3,Northeast Hillsborough,149.74684
External,Plant City Area,3166.30634
Northwest Hillsborough,Plant City Area,0
Tampa Central,Plant City Area,3160.0479
Northeast Hillsborough,Plant City Area,24612.56215
Plant City Area,Plant City Area,819.51949
Southeast Hillsborough,Plant City Area,2839.64112
East Town,Plant City Area,2645.39984
Pasco,Plant City Area,3423.45692
Tampa Intl Airport / Anderson Rd,Plant City Area,6.09454
Northeast Hillsborough,Westshore / Rocky Point,2055.43577
Tampa Intl Airport / Anderson Rd,Westshore / Rocky Point,37813.05989
Westshore / Rocky Point,Westshore / Rocky Point,43855.78015
Northwest Hillsborough,Westshore / Rocky Point,19080.94406
Pinellas,Westshore / Rocky Point,13428.49159
USF / Hospitals / Busch Gardens,Westshore / Rocky Point,1065.93768
Tampa Central,Westshore / Rocky Point,20489.59505
Downtown,Westshore / Rocky Point,13196.06098
West Brandon S Falkenburg Corrido,Westshore / Rocky Point,3646.47782
Pasco,Westshore / Rocky Point,9032.4223
Southwest Hillsborough,Westshore / Rocky Point,20657.62745
Southeast Hillsborough,Westshore / Rocky Point,1667.1018
External,Westshore / Rocky Point,656.45543
CZ3,Westshore / Rocky Point,158.10216
Hernando & Citrus,Westshore / Rocky Point,139.17247
East Town,Westshore / Rocky Point,1956.39456
CZ2,Westshore / Rocky Point,156.08316
Northeast Hillsborough,Tampa Intl Airport / Anderson Rd,2423.27627
CZ3,Tampa Intl Airport / Anderson Rd,0
Harney Corridor / Tampa Ex Airpor,Tampa Intl Airport / Anderson Rd,0
Plant City Area,Tampa Intl Airport / Anderson Rd,6.09454
MacDill AFB / Port Tampa,Tampa Intl Airport / Anderson Rd,32.60597
Citrus Park,Westshore / Rocky Point,213.30432
MacDill AFB / Port Tampa,Westshore / Rocky Point,268.4634
CZ1,Westshore / Rocky Point,60.34471
Harney Corridor / Tampa Ex Airpor,Westshore / Rocky Point,509.89729
CZ4,Westshore / Rocky Point,1909.8401
Hidden River / Telecom Park,Westshore / Rocky Point,1899.73728
Port of Tampa / 50th St Corridor,Westshore / Rocky Point,3114.2695
External,Southwest Hillsborough,639.72715
Northwest Hillsborough,Southwest Hillsborough,26340.71722
Tampa Central,Southwest Hillsborough,41783.26279
USF / Hospitals / Busch Gardens,Southwest Hillsborough,10336.73798
Westshore / Rocky Point,Southwest Hillsborough,17586.93579
Southwest Hillsborough,Southwest Hillsborough,378280.57837
MacDill AFB / Port Tampa,Southwest Hillsborough,15014.56056
Downtown,Southwest Hillsborough,36359.30314
Pasco,Southwest Hillsborough,4855.24479
Hernando & Citrus,Southwest Hillsborough,33.66607
Tampa Intl Airport / Anderson Rd,Southwest Hillsborough,14430.19184
CZ1,Southwest Hillsborough,1387.86472
CZ4,Southwest Hillsborough,256.33727
Pinellas,Southwest Hillsborough,15437.56873
Northeast Hillsborough,Southwest Hillsborough,346.02768
East Town,Southwest Hillsborough,1629.56231
Southeast Hillsborough,Southwest Hillsborough,7655.73915
West Brandon S Falkenburg Corrido,Southwest Hillsborough,1878.64034
Citrus Park,Southwest Hillsborough,117.75852
Hidden River / Telecom Park,Southwest Hillsborough,126.6377
Harney Corridor / Tampa Ex Airpor,Southwest Hillsborough,110.139
Northwest Hillsborough,MacDill AFB / Port Tampa,4963.80265
Southwest Hillsborough,MacDill AFB / Port Tampa,20020.84131
MacDill AFB / Port Tampa,MacDill AFB / Port Tampa,12488.26077
Downtown,MacDill AFB / Port Tampa,150.81173
CZ1,MacDill AFB / Port Tampa,1.17856
Tampa Central,MacDill AFB / Port Tampa,270.65628
Tampa Intl Airport / Anderson Rd,MacDill AFB / Port Tampa,23.06988
Westshore / Rocky Point,MacDill AFB / Port Tampa,9.14181
East Town,MacDill AFB / Port Tampa,116.00359
Northeast Hillsborough,MacDill AFB / Port Tampa,3077.13581
West Brandon S Falkenburg Corrido,MacDill AFB / Port Tampa,1640.3831
Southeast Hillsborough,MacDill AFB / Port Tampa,7555.25508
CZ2,MacDill AFB / Port Tampa,3420.89114
CZ4,MacDill AFB / Port Tampa,0
Pinellas,MacDill AFB / Port Tampa,575.5307
Pasco,MacDill AFB / Port Tampa,2434.85655
Hernando & Citrus,MacDill AFB / Port Tampa,84.91403
USF / Hospitals / Busch Gardens,MacDill AFB / Port Tampa,0
Westshore / Rocky Point,East Town,1564.44756
CZ3,East Town,388.89111
Harney Corridor / Tampa Ex Airpor,East Town,26.34014
Northeast Hillsborough,Downtown,10988.44162
Tampa Central,Downtown,41431.56286
USF / Hospitals / Busch Gardens,Downtown,4297.51123
Southwest Hillsborough,Downtown,40733.70289
Southeast Hillsborough,Downtown,20929.77041
CZ1,Downtown,3546.47743
Pasco,Downtown,15433.97868
Northwest Hillsborough,Downtown,12761.09105
Tampa Intl Airport / Anderson Rd,Downtown,1187.58667
Westshore / Rocky Point,Downtown,14118.54393
MacDill AFB / Port Tampa,Downtown,1999.1118
Downtown,Downtown,100638.65216
West Brandon S Falkenburg Corrido,Downtown,727.27378
Pinellas,Downtown,12140.19253
Hernando & Citrus,Downtown,150.04624
Port of Tampa / 50th St Corridor,Downtown,355.52226
East Town,Downtown,1579.72049
CZ2,Downtown,4109.31313
External,Downtown,6110.0562
Tampa Intl Airport / Anderson Rd,East Town,122.46892
Harney Corridor / Tampa Ex Airpor,Downtown,696.50568
CZ4,Downtown,727.5381
CZ3,Downtown,1764.84368
External,Port of Tampa / 50th St Corridor,3854.26068
Tampa Central,Port of Tampa / 50th St Corridor,2457.67905
Downtown,Port of Tampa / 50th St Corridor,368.25544
Port of Tampa / 50th St Corridor,Port of Tampa / 50th St Corridor,47.10898
Pasco,Port of Tampa / 50th St Corridor,3066.68175
Port of Tampa / 50th St Corridor,Southwest Hillsborough,0
CZ3,Southwest Hillsborough,0
Hidden River / Telecom Park,Downtown,1087.17043
Plant City Area,Downtown,149.74685
Pinellas,Port of Tampa / 50th St Corridor,18416.38713
Citrus Park,Downtown,0
CZ2,Southwest Hillsborough,57.3194
Northwest Hillsborough,Port of Tampa / 50th St Corridor,0
MacDill AFB / Port Tampa,Harney Corridor / Tampa Ex Airpor,151.25935
CZ4,East Town,145.34611
Port of Tampa / 50th St Corridor,East Town,132.87903
Manatee Spur,East Town,0
External,East Town,110.54857
Plant City Area,East Town,0
Tampa Central,West Brandon S Falkenburg Corrido,15026.94553
USF / Hospitals / Busch Gardens,West Brandon S Falkenburg Corrido,752.3889
Harney Corridor / Tampa Ex Airpor,West Brandon S Falkenburg Corrido,804.63669
Southwest Hillsborough,West Brandon S Falkenburg Corrido,314.3982
West Brandon S Falkenburg Corrido,West Brandon S Falkenburg Corrido,25772.48068
CZ4,West Brandon S Falkenburg Corrido,5522.90275
Pasco,West Brandon S Falkenburg Corrido,2266.93989
